company, role, description


Oracle, Software Engineer Intern, "Job Description

The Program:

Our future success depends on hiring world-class, early in career talent who are looking to power next-generation services and solutions. We are hiring bachelor’s students with a diverse set of skills and experiences to work in and across multiple teams. Our program is intended to enhance your overall learning experience, help build your network, and accelerate your opportunity to make an impact. Create the future with us!

The Team:

Oracle's Global Licensing and Advisory Services- GLAS- is a customer facing licensing and investment support organization that incorporates the critical areas of end-to-end value, customer experience, and industry best practice, to manage change and ensure the best outcomes.

The Company:

Oracle is the world’s leading provider of business software. With a presence in over 175 countries, we are one of the biggest technology companies on the planet. We're using innovative emerging technologies to tackle real-world problems today. From advancing energy efficiency to reimagining online commerce, the work we do is not only redefining the world of business—it's helping advance governments, power nonprofits, and giving billions of people the tools they need to outpace change. For more information about Oracle (NYSE:ORCL), visit us at oracle.com.

What You’ll Do: 

We are seeking best-in-class interns with the expertise and passion for solving challenging unique problems under the GLAS Operations Software Development Team. You will have the opportunity to work on real projects from day one, gaining a breadth of real-world experience.

The role will provide an opportunity to participate in various development projects and exposure to various groups within the Ops team. The projects will include working on strategic software implementation and development initiatives.

What You’ll Bring:

Will be enrolled in a Bachelor’s or Master’s degree program in Computer Science, Computer Engineering, Information Systems or Information Technology or an equivalent science/engineering field during the 2025-2026 school year.
Have completed at least your sophomore year toward your undergraduate degree, or higher, by summer 2025.
Are proficient (i.e., able to complete coding projects with no assistance) in at least one of the following programming languages:
Java, Python, SQL, JavaScript
Have completed coursework, projects, internships, and or research in Object-Oriented Programming/Design.
Attend a university in the US.
Able to acquire work authorization in the US in 2025.
Detail oriented self-starter and teachable.
Excellent attention to detail with large datasets.
Troubleshooting and problem-solving.
Goal-oriented and capable of completing projects on time with minimal supervision.
Interest in Enterprise development.

No visa sponsorship is available for this position.

If you are interested in working at Oracle and you have more than 2 years of professional full-time work experience (excluding internships, research and/or teaching assistant roles, and/or military experience), please apply to Oracle’s experienced job openings. For information on currently open positions at Oracle, please visit  http://oracle.com/goto/careers

How To Apply

Visit Oracle.com/Campus > Quick Apply >

Interns are hired as Oracle Temporary employees whose full or part-time assignments generally range from a two-week minimum to six months, with a one-year maximum. The company makes no express or implied commitment that your temporary employment will have a minimum or fixed term as employment with Oracle is at-will.

Oracle is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability and protected veterans status or any other characteristic protected by law.

As part of Oracle's standard employment process, candidates undergo a complete background check prior to an offer being extended. These background checks are conducted by a professional third party firm at no charge to you and include: prior employment verification, education verification, social security trace, criminal background check and motor vehicles records (where required for position).

Career Level - IC0

Qualifications

Disclaimer:

Certain US customer or client-facing roles may be required to comply with applicable requirements, such as immunization and occupational health mandates.

Range and benefit information provided in this posting are specific to the stated locations only

US: Hiring Range in USD from $18.99 - $53.00 per hour; from: $39,500 - $110,240 per year.

Oracle maintains broad salary ranges for its roles in order to account for variations in knowledge, skills, experience, market conditions and locations, as well as reflect Oracle’s differing products, industries and lines of business.

Candidates are typically placed into the range based on the preceding factors as well as internal peer equity.

Oracle US offers a comprehensive benefits package which includes the following:

 Medical, dental, and vision insurance, including expert medical opinion
 Short term disability and long term disability
 Life insurance and AD&D
 Supplemental life insurance (Employee/Spouse/Child)
 Health care and dependent care Flexible Spending Accounts
 Pre-tax commuter and parking benefits
 401(k) Savings and Investment Plan with company match
 Paid time off: Flexible Vacation is provided to all eligible employees assigned to a salaried (non-overtime eligible) position. Accrued Vacation is provided to all other employees eligible for vacation benefits. For employees working at least 35 hours per week, the vacation accrual rate is 13 days annually for the first three years of employment and 18 days annually for subsequent years of employment. Vacation accrual is prorated for employees working between 20 and 34 hours per week. Employees working fewer than 20 hours per week are not eligible for vacation.
 11 paid holidays
 Paid sick leave: 72 hours of paid sick leave upon date of hire. Refreshes each calendar year. Unused balance will carry over each year up to a maximum cap of 112 hours.
 Paid parental leave
 Adoption assistance
 Employee Stock Purchase Plan
 Financial planning and group legal
 Voluntary benefits including auto, homeowner and pet insurance


The role will generally accept applications for at least three calendar days from the posting date or as long as the job remains posted.

About Us

As a world leader in cloud solutions, Oracle uses tomorrow’s technology to tackle today’s problems. True innovation starts with diverse perspectives and various abilities and backgrounds.

When everyone’s voice is heard, we’re inspired to go beyond what’s been done before. It’s why we’re committed to expanding our inclusive workforce that promotes diverse insights and perspectives.

We’ve partnered with industry-leaders in almost every sector—and continue to thrive after 40+ years of change by operating with integrity.

Oracle careers open the door to global opportunities where work-life balance flourishes. We offer a highly competitive suite of employee benefits designed on the principles of parity and consistency. We put our people first with flexible medical, life insurance and retirement options. We also encourage employees to give back to their communities through our volunteer programs.

We’re committed to including people with disabilities at all stages of the employment process. If you require accessibility assistance or accommodation for a disability at any point, let us know by calling +1 888 404 2494, option one.

Disclaimer:

Oracle is an Equal Employment Opportunity Employer*. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability and protected veterans’ status, or any other characteristic protected by law. Oracle will consider for employment qualified applicants with arrest and conviction records pursuant to applicable law.

 Which includes being a United States Affirmative Action Employer"





 Capital One, Lead AI Engineer, "Overview:

At Capital One, we are creating responsible and reliable AI systems, changing banking for good. For years, Capital One has been an industry leader in using machine learning to create real-time, personalized customer experiences. Our investments in technology infrastructure and world-class talent — along with our deep experience in machine learning — position us to be at the forefront of enterprises leveraging AI. From informing customers about unusual charges to answering their questions in real time, our applications of AI & ML are bringing humanity and simplicity to banking. We are committed to continuing to build world-class applied science and engineering teams to deliver our industry leading capabilities with breakthrough product experiences and scalable, high-performance AI infrastructure. At Capital One, you will help bring the transformative power of emerging AI capabilities to reimagine how we serve our customers and businesses who have come to love the products and services we build.

Team Description:

The Intelligent Foundations and Experiences (IFX) team is at the center of bringing our vision for AI at Capital One to life. We work hand-in-hand with our partners across the company to advance the state of the art in science and AI engineering, and we build and deploy proprietary solutions that are central to our business and deliver value to millions of customers. Our AI models and platforms empower teams across Capital One to enhance their products with the transformative power of AI, in responsible and scalable ways for the highest leverage impact.

In this role, you will:

 Partner with a cross-functional team of engineers, research scientists, technical program managers, and product managers to deliver AI-powered products that change how our associates work and how our customers interact with Capital One. 
 Design, develop, test, deploy, and support AI software components including foundation model training, large language model inference, similarity search, guardrails, model evaluation, experimentation, governance, and observability, etc. 
 Leverage a broad stack of Open Source and SaaS AI technologies such as AWS Ultraclusters, Huggingface, VectorDBs, Nemo Guardrails, PyTorch, and more. 
 Invent and introduce state-of-the-art LLM optimization techniques to improve the performance — scalability, cost, latency, throughput — of large scale production AI systems. 
 Contribute to the technical vision and the long term roadmap of foundational AI systems at Capital One. 

The Ideal Candidate:

 You love to build systems, take pride in the quality of your work, and also share our passion to do the right thing. You want to work on problems that will help change banking for good. 
 Passion for staying abreast of the latest research, and an ability to intuitively understand scientific publications and judiciously apply novel techniques in production. 
 You adapt quickly and thrive on bringing clarity to big, undefined problems. You love asking questions and digging deep to uncover the root of problems and can articulate your findings concisely with clarity. You have the courage to share new ideas even when they are unproven. 
 You are deeply Technical. You possess a strong foundation in engineering and mathematics, and your expertise in hardware, software, and AI enable you to see and exploit optimization opportunities that others miss. 
 You are a resilient trail blazer who can forge new paths to achieve business goals when the route is unknown. 

Basic Qualifications:

 Bachelor's degree in Computer Science, Engineering, or AI plus at least 4 years of experience developing AI and ML algorithms or technologies, or Master's degree plus at least 2 years of experience developing AI and ML algorithms or technologies 
 At least 4 years of experience programming with Python, Go, Scala, or Java 

Preferred Qualifications:

 6 years of experience deploying scalable and responsible AI solutions on cloud platforms (e.g. AWS, Google Cloud, Azure, or equivalent private cloud) 
 Experience designing, developing, delivering, and supporting AI services 
 Experience developing AI and ML algorithms or technologies (e.g. LLM Inference, Similarity Search and VectorDBs, Guardrails, Memory) using Python, C++, C#, Java, or Golang 
 Master's degree in Computer Science, Computer Engineering, or relevant technical field 
 Experience developing and applying state-of-the-art techniques for optimizing training and inference software to improve hardware utilization, latency, throughput, and cost 
 Passion for staying abreast of the latest AI research and AI systems, and judiciously apply novel techniques in production 

Capital One will consider sponsoring a new qualified applicant for employment authorization for this position.

The minimum and maximum full-time annual salaries for this role are listed below, by location. Please note that this salary information is solely for candidates hired to perform work within one of these locations, and refers to the amount Capital One is willing to pay at the time of this posting. Salaries for part-time roles will be prorated based upon the agreed upon number of hours to be regularly worked.

Boston, MA: $193,400 - $220,700 for Lead AI Engineer

McLean, VA: $193,400 - $220,700 for Lead AI Engineer

New York, NY: $211,000 - $240,800 for Lead AI Engineer

Plano, TX: $175,800 - $200,700 for Lead AI Engineer

Richmond, VA: $175,800 - $200,700 for Lead AI Engineer

San Francisco, CA: $211,000 - $240,800 for Lead AI Engineer

Candidates hired to work in other locations will be subject to the pay range associated with that location, and the actual annualized salary amount offered to any candidate at the time of hire will be reflected solely in the candidate’s offer letter.

This role is also eligible to earn performance based incentive compensation, which may include cash bonus(es) and/or long term incentives (LTI). Incentives could be discretionary or non discretionary depending on the plan.

Capital One offers a comprehensive, competitive, and inclusive set of health, financial and other benefits that support your total well-being. Learn more at the Capital One Careers website . Eligibility varies based on full or part-time status, exempt or non-exempt status, and management level.

This role is expected to accept applications for a minimum of 5 business days.No agencies please. Capital One is an equal opportunity employer committed to diversity and inclusion in the workplace. All qualified applicants will receive consideration for employment without regard to sex (including pregnancy, childbirth or related medical conditions), race, color, age, national origin, religion, disability, genetic information, marital status, sexual orientation, gender identity, gender reassignment, citizenship, immigration status, protected veteran status, or any other basis prohibited under applicable federal, state or local law. Capital One promotes a drug-free workplace. Capital One will consider for employment qualified applicants with a criminal history in a manner consistent with the requirements of applicable laws regarding criminal background inquiries, including, to the extent applicable, Article 23-A of the New York Correction Law; San Francisco, California Police Code Article 49, Sections 4901-4920; New York City’s Fair Chance Act; Philadelphia’s Fair Criminal Records Screening Act; and other applicable federal, state, and local laws and regulations regarding criminal background inquiries.

If you have visited our website in search of information on employment opportunities or to apply for a position, and you require an accommodation, please contact Capital One Recruiting at 1-800-304-9102 or via email at RecruitingAccommodation@capitalone.com . All information you provide will be kept confidential and will be used only to the extent required to provide needed reasonable accommodations.

For technical support or questions about Capital One's recruiting process, please send an email to Careers@capitalone.com

Capital One does not provide, endorse nor guarantee and is not liable for third-party products, services, educational tools or other information available through this site.

Capital One Financial is made up of several different entities. Please note that any position posted in Canada is for Capital One Canada, any position posted in the United Kingdom is for Capital One Europe and any position posted in the Philippines is for Capital One Philippines Service Corp. (COPSSC)."







Samsung Semicondoctor, Staff Engineer - AI/ML Software Compiler, "Please Note

To provide the best candidate experience amidst our high application volumes, each candidate is limited to 10 applications across all open jobs within a 6-month period.

Advancing the World’s Technology Together

Our technology solutions power the tools you use every day--including smartphones, electric vehicles, hyperscale data centers, IoT devices, and so much more. Here, you’ll have an opportunity to be part of a global leader whose innovative designs are pushing the boundaries of what’s possible and powering the future.

We believe innovation and growth are driven by an inclusive culture and a diverse workforce. We’re dedicated to empowering people to be their true selves. Together, we’re building a better tomorrow for our employees, customers, partners, and communities.

What You’ll Do

The AGI (Artificial General Intelligence) Computing Lab is dedicated to solving the complex system-level challenges posed by the growing demands of future AI/ML workloads. Our team is committed to designing and developing scalable platforms that can effectively handle the computational and memory requirements of these workloads while minimizing energy consumption and maximizing performance. To achieve this goal, we collaborate closely with both hardware and software engineers to identify and address the unique challenges posed by AI/ML workloads and to explore new computing abstractions that can provide a better balance between the hardware and software components of our systems. Additionally, we continuously conduct research and development in emerging technologies and trends across memory, computing, interconnect, and AI/ML, ensuring that our platforms are always equipped to handle the most demanding workloads of the future. By working together as a dedicated and passionate team, we aim to revolutionize the way AI/ML applications are deployed and executed, ultimately contributing to the advancement of AGI in an affordable and sustainable manner. Join us in our passion to shape the future of computing!

Location: Hybrid, working onsite at our office 3 days per week with the flexibility to work remotely the remainder of your time

Reports to: VP

Design and implement ML compilers for high-performance deep learning applications.
Optimize compilers for efficient execution of deep learning models on various hardware platforms.
Design a staged lowering infrastructure to meet rapidly evolving workload requirements effectively.
Design an algorithm to optimize data locality to minimize energy consumption.
Work closely with hardware architects and developers to integrate new ML techniques and algorithms into the compiler.
Collaborate with cross-functional teams to define and deliver ML compiler features and improvements.
Troubleshoot and debug compiler issues, and provide technical support to customers.
Contribute to the development of ML compiler documentation and user guides.
Stay up-to-date with the latest trends and advancements in the field of ML compilers and hardware.

What You Bring

BS in Computer/Electrical Engineering or Computer Science with 10+ years of working experiences in silicon development or MS in Computer/Electrical Engineering or Computer Science with 8+ years of relevant working experience or PhD and 5+ years of relevant working experience preferred.
Strong background in compiler design and optimization techniques.
Experiences in developing and optimizing software for high-performance computing systems
Experiences in LLVM / MLIR (preferred)
Familiarity with PyTorch, Tensorflow, or JAX.
Familiarity with hardware architectures such as CPUs, GPUs, TPUs, and NPUs.
Strong analytical and problem-solving skills
Excellent communication and interpersonal skills
Ability to work independently and as part of a team
You’re inclusive, adapting your style to the situation and diverse global norms of our people.
An avid learner, you approach challenges with curiosity and resilience, seeking data to help build understanding.
You’re collaborative, building relationships, humbly offering support and openly welcoming approaches.
Innovative and creative, you proactively explore new ideas and adapt quickly to change.

What We Offer

The pay range below is for all roles at this level across all US locations and functions. Individual pay rates depend on a number of factors—including the role’s function and location, as well as the individual’s knowledge, skills, experience, education, and training. We also offer incentive opportunities that reward employees based on individual and company performance.

This is in addition to our diverse package of benefits centered around the wellbeing of our employees and their loved ones. In addition to the usual Medical/Dental/Vision/401k, our inclusive rewards plan empowers our people to care for their whole selves. An investment in your future is an investment in ours.

Give Back With a charitable giving match and frequent opportunities to get involved, we take an active role in supporting the community.

Enjoy Time Away You’ll start with 4+ weeks of paid time off a year, plus holidays and sick leave, to rest and recharge.

Care for Family Whatever family means to you, we want to support you along the way—including a stipend for fertility care or adoption, medical travel support, and an errand service.

Prioritize Emotional Wellness With on-demand apps and paid therapy sessions, you’ll have support no matter where you are.

Stay Fit Eating well and being active are important parts of a healthy life. Our onsite Café and gym, plus virtual classes, make it easier.

Embrace Flexibility Benefits are best when you have the space to use them. That’s why we facilitate a flexible environment so you can find the right balance for you.

Base Pay Range

$157,000—$243,000 USD

Equal Opportunity Employment Policy 

Samsung Semiconductor takes pride in being an equal opportunity workplace dedicated to fostering an environment where all individuals feel valued and empowered to excel, regardless of race, religion, color, age, disability, sex, gender identity, sexual orientation, ancestry, genetic information, marital status, national origin, political affiliation, or veteran status.

When selecting team members, we prioritize talent and qualities such as humility, kindness, and dedication. We extend comprehensive accommodations throughout our recruiting processes for candidates with disabilities, long-term conditions, neurodivergent individuals, or those requiring pregnancy-related support. All candidates scheduled for an interview will receive guidance on requesting accommodations.

Recruiting Agency Policy

We do not accept unsolicited resumes. Only authorized recruitment agencies that have a current and valid agreement with Samsung Semiconductor, Inc. are permitted to submit resumes for any job openings.

Covid-19 Policy

To help keep our employees, customers, and communities safe, we've developed guidelines for our team. Currently, we encourage vaccination for all employees and may require it depending on job functions (e.g., traveling for business, meeting with customers). While visiting our offices or attending team events, we ask employees to complete a daily health questionnaire and complete a weekly COVID test. Our COVID policies are subject to change depending on public health, regulatory, and business circumstances.
"





Adobe, 2025 Intern - Machine Learning Engineer, "Our Company

Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen.

We’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!

The Opportunity

Adobe is looking for a Machine Learning intern who will apply AI and machine learning techniques to big-data problems to help Adobe better understand, lead and optimize the experience of its customers.

By using predictive models, experimental design methods, and optimization techniques, the candidate will be working on the research and development of exciting projects like real-time online media optimization, sales operation analytics, customer churn scoring and management, customer understanding, product recommendation and customer lifetime value prediction.

All 2025 Adobe interns will be co-located hybrid. This means that interns will work between their assigned office and home. Interns will be based in the office where their manager and/or team are located , where they will get the most support to ensure collaboration and the best employee experience. Managers and their organization will determine the frequency they need to go into the office to meet priorities. 

What You’ll Do

 Develop predictive models on large-scale datasets to address various business problems with statistical modeling, machine learning, and analytics techniques. 
 Develop and implement scalable, efficient, and interpretable modeling algorithms that can work with large-scale data in production systems 
 Collaborate with product management and engineering groups to develop new products and features. 

What You Need To Succeed

 Currently enrolled full time and pursuing a Master’s or PhD degree in Computer Science, Computer Engineering; or equivalent experience required with an expected graduation date of December 2025 – June 2026 
 Good understanding of statistical modeling, machine learning, deep learning, or data analytics concepts. 
 Proficient in one or more programming languages such as Python, Java and C 
 Familiar with one or more machine learning or statistical modeling tools such as R, Matlab and scikit learn 
 Strong analytical and quantitative problem-solving ability. 
 Excellent communication, relationship skills and a team player 
 Ability to participate in a full-time internship between May-September 

Our compensation reflects the cost of labor across several  U.S. geographic markets, and we pay differently based on those defined markets. The U.S. pay range for this position is $45.00 -- $55.00 hourly. Your recruiter can share more about the specific pay rate for your job location during the hiring process.Adobe will consider qualified applicants with arrest or conviction records for employment in accordance with state and local laws and “fair chance” ordinances.

Adobe is proud to be an Equal Employment Opportunity and affirmative action employer. We do not discriminate based on gender, race or color, ethnicity or national origin, age, disability, religion, sexual orientation, gender identity or expression, veteran status, or any other applicable characteristics protected by law. Learn more.

Adobe aims to make Adobe.com accessible to any and all users. If you have a disability or special need that requires accommodation to navigate our website or complete the application process, email accommodations@adobe.com or call (408) 536-3015.

Adobe values a free and open marketplace for all employees and has policies in place to ensure that we do not enter into illegal agreements with other companies to not recruit or hire each other’s employees."








Nvidia, Software Engineer Intern, "By submitting your resume, you’re expressing interest in one of our 2025 Software Engineering I nternship s. We ’ll review resumes on an ongoing basis, and a recruiter may reach out if your experience fits one of our many internship opportunities . 

NVIDIA pioneered accelerated computing to tackle challenges no one else can solve. Our work in AI and digital twins is transforming the world's largest industries and profoundly impacting society — from gaming to robotics, self-driving cars to life-saving healthcare, climate change to virtual worlds where we can all connect and create.

Our internships offer an excellent opportunity to expand your career and get hands on with one of our industry leading Software teams. We’re seeking strategic, ambitious, hard-working, and creative individuals who are passionate about helping us tackle challenges no one else can solve.

Throughout the minimum 12-week internship, students will work on projects that have a measurable impact on our business. We’re looking for students pursuing Bachelor's, Master's, or PhD degree within a relevant or related field.

Potential Internships In This Field Include

Development Tools

 Debugging complex system-level issues using Jenkin s 
 Course or internship experience related to the following areas could be required : Relational Databases, Linear Algebra & Numerical Methods, Operating Systems (memory/resource management), Scheduling and Process Control, Hardware Virtualization 

Cloud

 Supporting overall architecture and design of our cloud storage infrastructure 
 Implementing and troubleshooting storage and data platform tools, automating storage infrastructure end-to-end 
 Course or internship experience related to the following areas could be required : Distributed Systems, Data Structures & Algorithms, Virtualization, Automation/Scripting, Container & Cluster Management, Debugging 

Tools Infrastructure

 Building industry leading technology by proving workflows and infrastructure, alon gside a team of experts in production software developm ent and chip design methodologies 
 Enabling success for content running on the chip from application tracing and analysis to modeling, diagnostics, performance tuning, and debugging 
 Course or internship experience related to the following areas and technologies could be required : Unix/Shell Scripting, Linux, Java, JavaScript (including Node, React, Vue) , C++, CUDA, OOP, Go, Python, Git, GitLab, Perforce, Kubernetes and M icroservices, Schedulers (LSF, SLURM), Containers (Docker), Configuration Automation (Ansible) 

Data Science

 S upporting cloud and on-premise infrastructure for backend analytics 
 Working on diverse data technologies i ncluding , Kafka, ELK, Cassandra, and Spark 
 Course or internship experience related to the following areas could be required : Data Science, Data Engineering, Open Source Data Science Tools, Open Source Libraries 

What We Need To See

 Currently pursuing a Bachelor's, Master's, or PhD degree within Computer Engineering, Electrical Engineering, Computer Science, or a related field 
 Depending on the internship role, prior experience or knowledge requirements could include the following programming skills and technologies: Java, JavaScript, (including Node, React, Vue), SQL, C++ , CUDA, OOP, Go, Python, Git, Perforce, Kubernetes and Microservices, Schedulers (LSF, SLURM), Containers (Docker), Configuration Automation (Ansible) 

Click here to learn more about NVIDIA, our early talent programs, benefits offered to students and other helpful student resources related to our latest technologies and endeavors .

The hourly rate for our interns is 18 USD - 71 USD. Our internship hourly rates are a standard pay determined based on the position and your location, year in school, degree, and experience.

You will also be eligible for Intern benefits .  NVIDIA accepts applications on an ongoing basis. 

NVIDIA is committed to fostering a diverse work environment and proud to be an equal opportunity employer. As we highly value diversity in our current and future employees, we do not discriminate (including in our hiring and promotion practices) on the basis of race, religion, color, national origin, gender, gender expression, sexual orientation, age, marital status, veteran status, disability status or any other characteristic protected by law."









